customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit
278,"Rovelli Gifts",Rovelli,"Giovanni ",035-640555,"Via Ludovico il Moro 22",NULL,Bergamo,NULL,24100,Italy,1401,119600.00
282,"Souveniers And Things Co.",Huxley,Adrian,"+61 2 9495 8555","Monitor Money Building","815 Pacific Hwy",Chatswood,NSW,2067,Australia,1611,93300.00
298,"Vida Sport, Ltd",Holz,Mihael,0897-034555,"Grenzacherweg 237",NULL,Genève,NULL,1203,Switzerland,1702,141300.00
299,"Norway Gifts By Mail, Co.",Klaeboe,Jan,"+47 2212 1555","Drammensveien 126A","PB 211 Sentrum",Oslo,NULL,"N 0106","Norway  ",1504,95100.00
311,"Oulu Toy Supplies, Inc.",Koskitalo,Pirkko,981-443655,"Torikatu 38",NULL,Oulu,NULL,90110,Finland,1501,90500.00
314,"Petit Auto",Dewey,"Catherine ","(02) 5554 67","Rue Joseph-Bens 532",NULL,Bruxelles,NULL,B-1180,Belgium,1401,79900.00
319,"Mini Classics",Frick,Steve,9145554562,"3758 North Pendale Street",NULL,"White Plains",NY,24067,USA,1323,102700.00
323,"Down Under Souveniers, Inc",Graham,Mike,"+64 9 312 5555","162-164 Grafton Road","Level 2","Auckland  ",NULL,NULL,"New Zealand",1612,88000.00
324,"Stylish Desk Decors, Co.",Brown,"Ann ","(171) 555-0297","35 King George",NULL,London,NULL,"WX3 6FW",UK,1501,77000.00
328,"Tekni Collectables Inc.",Brown,William,2015559350,"7476 Moss Rd.",NULL,Newark,NJ,94019,USA,1323,43000.00
333,"Australian Gift Network, Co",Calaghan,Ben,61-7-3844-6555,"31 Duncan St. West End",NULL,"South Brisbane",Queensland,4101,Australia,1611,51600.00
334,"Suominen Souveniers",Suominen,Kalle,"+358 9 8045 555","Software Engineering Center","SEC Oy",Espoo,NULL,FIN-02271,Finland,1501,98800.00
344,"CAF Imports",Fernandez,Jesus,"+34 913 728 555","Merchants House","27-30 Merchant's Quay",Madrid,NULL,28023,Spain,1702,59600.00
350,"Marseille Mini Autos",Lebihan,"Laurence ",91.24.4555,"12, rue des Bouchers",NULL,Marseille,NULL,13008,France,1337,65000.00
353,"Reims Collectables",Henriot,"Paul ",26.47.1555,"59 rue de l'Abbaye",NULL,Reims,NULL,51100,France,1337,81100.00
357,GiftsForHim.com,MacKinlay,Wales,64-9-3763555,"199 Great North Road",NULL,Auckland,NULL,NULL,"New Zealand",1612,77700.00
376,"Precious Collectables",Urs,Braun,0452-076555,"Hauptstr. 29",NULL,Bern,NULL,3012,Switzerland,1702,0.00
381,"Royale Belge",Cartrain,"Pascale ","(071) 23 67 2555","Boulevard Tirou, 255",NULL,Charleroi,NULL,B-6000,Belgium,1401,23500.00
382,"Salzburg Collectables",Pipps,"Georg ",6562-9555,"Geislweg 14",NULL,Salzburg,NULL,5020,Austria,1401,71700.00
385,"Cruz & Sons Co.",Cruz,Arnold,"+63 2 555 3587","15 McCallum Street","NatWest Center #13-03","Makati City",NULL,"1227 MM",Philippines,1621,81500.00
386,"L'ordine Souveniers",Moroni,"Maurizio ",0522-556555,"Strada Provinciale 124",NULL,"Reggio Emilia",NULL,42100,Italy,1401,121400.00
398,"Tokyo Collectables, Ltd",Shimamura,Akiko,"+81 3 3584 0555","2-2-8 Roppongi",NULL,Minato-ku,Tokyo,106-0032,Japan,1621,94400.00
406,"Auto Canal+ Petit",Perrier,Dominique,"(1) 47.55.6555","25, rue Lauriston",NULL,Paris,NULL,75016,France,1337,95000.00
412,"Extreme Desk Decorations, Ltd",McRoy,Sarah,"04 499 9555","101 Lambton Quay","Level 11",Wellington,NULL,NULL,"New Zealand",1612,86800.00
415,"Bavarian Collectables Imports, Co.",Donnermeyer,Michael," +49 89 61 08 9555","Hansastr. 15",NULL,Munich,NULL,80686,Germany,1504,77000.00
447,"Gift Ideas Corp.",Lewis,Dan,2035554407,"2440 Pompton St.",NULL,Glendale,CT,97561,USA,1323,49700.00
448,"Scandinavian Gift Ideas",Larsson,Martha,"0695-34 6555","Åkergatan 24",NULL,Bräcke,NULL,"S-844 67",Sweden,1504,116400.00
452,"Mini Auto Werke",Mendel,"Roland ",7675-3555,"Kirchgasse 6",NULL,Graz,NULL,8010,Austria,1401,45300.00
458,"Corrida Auto Replicas, Ltd",Sommer,"Martín ","(91) 555 22 82","C/ Araquil, 67",NULL,Madrid,NULL,28023,Spain,1702,104600.00
471,"Australian Collectables, Ltd",Clenahan,Sean,61-9-3844-6555,"7 Allen Street",NULL,"Glen Waverly",Victoria,3150,Australia,1611,60300.00
473,"Frau da Collezione",Ricotti,Franco,"+39 022515555","20093 Cologno Monzese","Alessandro Volta 16",Milan,NULL,NULL,Italy,1401,34800.00
484,"Iberia Gift Imports, Corp.",Roel,"José Pedro ","(95) 555 82 82","C/ Romero, 33",NULL,Sevilla,NULL,41101,Spain,1702,65700.00
486,"Motor Mint Distributors Inc.",Salazar,Rosa,2155559857,"11328 Douglas Av.",NULL,Philadelphia,PA,71270,USA,1323,72600.00
489,"Double Decker Gift Stores, Ltd",Smith,"Thomas ","(171) 555-7555","120 Hanover Sq.",NULL,London,NULL,"WA1 1DP",UK,1501,43300.00
496,"Kelly's Gift Shop",Snowden,Tony,"+64 9 5555500","Arenales 1938 3'A'",NULL,"Auckland  ",NULL,NULL,"New Zealand",1612,110000.00
